1, VERA, LAMBERT, 1988
10, RHONDA, FOSTER, 1974
100, MINNIE, JENKINS, 1980
1000, KEN, HURST, 1982
10000, LUCY, DALE, 2013
1001, TRACY, VALENTINE, 1990
1002, TONI, HEBERT, 1976
1003, RHONDA, WONG, 1997
1004, LOUISE, VINSON, 1955
1005, JOSEPH, ROTH, 1978
1006, VICKIE, MITCHELL, 1992
1007, CONNIE, LEWIS, 1985
1008, ANGEL, KIDD, 2010
1009, CLAUDE, BROOKS, 1969
101, KELLY, MIRANDA, 1969
1010, KURT, GAY, 2008
1011, ALVIN, MADDOX, 1952
1012, KIMBERLY, ZIMMERMAN, 2013
1013, AARON, BEASLEY, 1991
1014, STANLEY, LOGAN, 1978
1015, LILLIE, HARPER, 2011
1016, TRACY, WILLIAMS, 1985
1017, ELMER, CARROLL, 1993
1018, MICHELLE, BISHOP, 2012
1019, JOHN, LEBLANC, 1983
102, JOYCE, BRYAN, 2004
1020, HUGH, ROSS, 1961
1021, WAYNE, JEFFERSON, 1956
1022, VELMA, ROWE, 2012
1023, JORGE, DUNN, 1984
1024, ALMA, KENNEDY, 2010
1025, KELLY, EVANS, 1979
1026, JARED, DICKSON, 2003
1027, DEANNA, STEIN, 1984
1028, RAFAEL, HANEY, 1977
1029, ANDREA, SCHMIDT, 2002
103, MYRTLE, PHELPS, 1965
1030, MYRTLE, SCOTT, 2012
1031, RENEE, BLACKWELL, 1957
1032, JOYCE, ENGLISH, 2004
1033, MARK, SOTO, 1979
1034, DUSTIN, DAVIDSON, 1976
1035, LEE, SCHULTZ, 1976
1036, ELAINE, VALDEZ, 1998
1037, VIRGIL, AYALA, 1969
1038, KRISTINA, WEBB, 2009
1039, ELAINE, WELLS, 1961
104, PHILLIP, HANSON, 1997
1040, EDDIE, KIM, 1998
1041, SUSAN, PRATT, 2011
1042, JOSEPHINE, TURNER, 1976
1043, DAISY, DURAN, 2011
1044, JEREMY, HARRIS, 1960
1045, BERTHA, FITZGERALD, 1955
1046, CINDY, SCHULTZ, 1959
1047, SONIA, BARBER, 2013
1048, HELEN, KRAMER, 1985
1049, CLAIRE, BENTLEY, 1986
105, MICHEAL, BALDWIN, 2012
1050, SHEILA, ROBLES, 2000
1051, FLOYD, ZAMORA, 2001
1052, COREY, MATHIS, 1995
1053, JOSE, KIDD, 1966
1054, REGINALD, SMITH, 1984
1055, PEDRO, ALEXANDER, 1965
1056, ZACHARY, BRUCE, 2013
1057, RUSSELL, WELLS, 1998
1058, CAROLE, RAY, 2005
1059, ARMANDO, PIERCE, 1975
106, JOHN, SIMPSON, 1997
1060, JANET, KEY, 1999
1061, DANA, PUGH, 1955
1062, SARA, BURTON, 1987
1063, ANNIE, DEAN, 1975
1064, WANDA, CHRISTIAN, 1984
1065, VINCENT, NOBLE, 1958
1066, MABEL, KIDD, 1987
1067, MELISSA, HOUSTON, 1976
1068, CAROL, BERRY, 1950
1069, FRANK, COFFEY, 2000
107, EVA, HESS, 1950
1070, ERIK, CHERRY, 1995
1071, ALFREDO, BENDER, 2005
1072, BRENDA, BARR, 2001
1073, ETHEL, MCFADDEN, 2003
1074, SARA, HAMILTON, 1961
1075, LYDIA, MCCLURE, 1967
1076, KENT, POWELL, 1995
1077, DAN, WALLACE, 1995
1078, ENRIQUE, VAUGHAN, 1970
1079, VIRGIL, COMPTON, 2006
108, CURTIS, PACHECO, 2008
1080, SHELLY, SIMS, 1965
1081, PHYLLIS, WASHINGTON, 1960
1082, BOBBY, HARVEY, 2012
1083, FRED, HARRIS, 1980
1084, TARA, ONEAL, 1968
1085, EVERETT, HINTON, 2000
1086, DALE, GUZMAN, 1985
1087, RICARDO, POTTER, 1964
1088, BEN, FLEMING, 1950
1089, MARSHA, LOTT, 1977
109, GERTRUDE, GLENN, 2009
1090, MICHEAL, HALL, 1974
1091, MELVIN, VILLARREAL, 2002
1092, CORY, RAYMOND, 1981
1093, DAISY, LEVY, 1997
1094, MARC, HARDIN, 2000
1095, VIRGINIA, MCCLURE, 1963
1096, FRANCIS, MARQUEZ, 2012
1097, ROBERTA, SAUNDERS, 1963
1098, JIM, KNAPP, 2008
1099, NORMA, GUERRERO, 1995
11, FRANCIS, VALDEZ, 1967
110, JESSIE, ARNOLD, 1971
1100, DEREK, WALLS, 1976
1101, JAY, WATERS, 1955
1102, JORGE, COLE, 1974
1103, ANTHONY, LAMB, 1973
1104, WESLEY, POLLARD, 1993
1105, PHYLLIS, HOPKINS, 1964
1106, MARIE, ZAMORA, 1961
1107, ALFRED, WEISS, 1991
1108, MARILYN, FOX, 2002
1109, FRANCIS, WILLIAM, 1992
111, JAMES, COLEMAN, 1952
1110, DEAN, MADDEN, 1950
1111, GLENN, GALLEGOS, 2000
1112, VERNON, FROST, 1985
